epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,503.104,0.69543,1.33445,0.51719,0.54354,0.90788,0.99009,0.9697,0.98123,0.73063,0.99009,0.9697,0.98123,0.64976,0.90044,1.5275,0.50019,0.90602,0.93159,0.00099314,0.00099314,0.00099314
44,514.735,0.79478,1.66373,0.54349,0.63589,0.90665,0.9924,1,0.995,0.7782,0.9924,1,0.995,0.70568,0.83249,1.4003,0.46766,0.83582,0.91477,0.000999282,0.000999282,0.000999282
45,526.321,0.90243,1.78556,0.49759,0.65083,0.92922,0.9924,1,0.995,0.7782,0.9924,1,0.995,0.70568,0.83249,1.4003,0.46766,0.83582,0.91477,0.00100463,0.00100463,0.00100463
46,537.925,0.78133,1.53081,0.51063,0.57285,0.92001,1,0.99339,0.995,0.81545,1,0.99339,0.995,0.73334,0.74296,1.27835,0.45695,0.62519,0.88525,0.00100919,0.00100919,0.00100919
47,549.415,0.73905,1.51504,0.53276,0.54895,0.88612,1,0.99339,0.995,0.81545,1,0.99339,0.995,0.73334,0.74296,1.27835,0.45695,0.62519,0.88525,0.00101296,0.00101296,0.00101296
48,561.133,0.86179,1.4226,0.57651,0.63376,0.96,0.96367,0.9697,0.99159,0.80441,0.96367,0.9697,0.99159,0.72166,0.76042,1.23408,0.45016,0.63214,0.88418,0.00101593,0.00101593,0.00101593
49,572.706,0.9057,1.48911,0.50308,0.63242,1.00158,0.96367,0.9697,0.99159,0.80441,0.96367,0.9697,0.99159,0.72166,0.76042,1.23408,0.45016,0.63214,0.88418,0.00101811,0.00101811,0.00101811
50,584.275,0.77227,1.36142,0.51462,0.55499,0.94723,0.9975,1,0.995,0.77103,0.9975,1,0.995,0.64646,0.92434,1.33098,0.43294,0.74425,0.9341,0.0010195,0.0010195,0.0010195
51,595.92,0.91767,1.54094,0.54608,0.61594,0.93323,0.9975,1,0.995,0.77103,0.9975,1,0.995,0.64646,0.92434,1.33098,0.43294,0.74425,0.9341,0.00101,0.00101,0.00101
52,607.454,0.82862,1.32945,0.51377,0.60154,0.90789,0.99444,1,0.995,0.78822,0.99444,1,0.995,0.66845,0.85142,1.28003,0.42198,0.67344,0.91736,0.0009902,0.0009902,0.0009902
53,618.929,0.77286,1.18357,0.51977,0.56895,0.94386,0.99444,1,0.995,0.78822,0.99444,1,0.995,0.66845,0.85142,1.28003,0.42198,0.67344,0.91736,0.0009704,0.0009704,0.0009704
54,630.611,0.8331,1.42922,0.51062,0.55059,0.94261,0.99738,1,0.995,0.83275,0.99738,1,0.995,0.74633,0.66789,1.08663,0.40936,0.59334,0.85209,0.0009506,0.0009506,0.0009506
55,642.255,0.83639,1.28521,0.47607,0.57722,0.97226,0.99738,1,0.995,0.83275,0.99738,1,0.995,0.74633,0.66789,1.08663,0.40936,0.59334,0.85209,0.0009308,0.0009308,0.0009308
56,654.096,0.72579,1.08541,0.49075,0.53358,0.96993,0.99814,1,0.995,0.84918,0.99814,1,0.995,0.77969,0.6673,1.07574,0.39872,0.57314,0.8491,0.000911,0.000911,0.000911
57,665.612,0.72351,1.12797,0.50133,0.54132,0.90653,0.99814,1,0.995,0.84918,0.99814,1,0.995,0.77969,0.6673,1.07574,0.39872,0.57314,0.8491,0.0008912,0.0008912,0.0008912
58,677.202,0.72397,1.20869,0.48875,0.58005,0.90042,0.99653,1,0.995,0.8119,0.99653,1,0.995,0.72779,0.69924,1.12335,0.38617,0.61205,0.86244,0.0008714,0.0008714,0.0008714
59,688.719,0.67337,1.22031,0.49992,0.53417,0.9147,0.99653,1,0.995,0.8119,0.99653,1,0.995,0.72779,0.69924,1.12335,0.38617,0.61205,0.86244,0.0008516,0.0008516,0.0008516
