epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,2126.63,0.93687,0.59842,0.30616,0.55886,0.97248,0.98581,0.98516,0.99438,0.78796,0.98581,0.98516,0.99438,0.92439,0.84163,0.40356,0.13753,0.52402,0.95031,0.0012872,0.0012872,0.0012872
38,2181.77,0.93008,0.63089,0.31326,0.58396,0.99385,0.99017,0.98582,0.99458,0.78792,0.9859,0.99211,0.99472,0.94103,0.82387,0.37327,0.13631,0.49964,0.95504,0.0012674,0.0012674,0.0012674
39,2237.12,0.88828,0.5854,0.35336,0.55435,0.97684,0.9859,0.99151,0.99472,0.80835,0.98444,1,0.99472,0.94495,0.75677,0.35173,0.13081,0.47731,0.93817,0.0012476,0.0012476,0.0012476
40,2291.8,0.84508,0.62496,0.33598,0.54411,0.97596,0.98583,0.98692,0.99479,0.79715,0.98583,0.98692,0.99479,0.93954,0.75038,0.37188,0.12926,0.48781,0.93065,0.0012278,0.0012278,0.0012278
41,2346.7,0.84992,0.59034,0.30437,0.52956,0.96263,1,0.99223,0.995,0.77255,1,0.99223,0.995,0.95669,0.82238,0.35835,0.13213,0.49723,0.94241,0.001208,0.001208,0.001208
42,2401.48,0.87778,0.63472,0.33156,0.54829,0.96139,1,0.99733,0.995,0.82207,1,0.99733,0.995,0.9528,0.71577,0.3437,0.13226,0.47062,0.91551,0.0011882,0.0011882,0.0011882
43,2456.55,0.79575,0.55516,0.31898,0.52629,0.92727,0.99288,0.98929,0.99486,0.79676,0.99403,1,0.995,0.95375,0.77283,0.30766,0.12887,0.49022,0.93415,0.0011684,0.0011684,0.0011684
44,2511.37,0.86224,0.6248,0.3678,0.55036,0.99098,0.99401,0.98582,0.99493,0.82483,0.99119,1,0.995,0.95179,0.69671,0.2942,0.12294,0.46942,0.90012,0.0011486,0.0011486,0.0011486
45,2567.07,0.84334,0.50659,0.30388,0.50809,0.94689,0.99611,0.99291,0.995,0.80173,0.99611,0.99291,0.995,0.94879,0.76603,0.31414,0.12685,0.46826,0.91873,0.0011288,0.0011288,0.0011288
46,2622.55,0.87263,0.52572,0.36547,0.57411,0.97251,1,0.99045,0.995,0.80614,1,0.99045,0.995,0.94194,0.714,0.3148,0.1209,0.48836,0.8971,0.001109,0.001109,0.001109
47,2677.17,0.84345,0.57641,0.37947,0.54611,0.95995,0.99834,0.99291,0.995,0.84215,0.99834,0.99291,0.995,0.9469,0.65024,0.30966,0.13091,0.46611,0.88297,0.0010892,0.0010892,0.0010892
